FEATURE,IMPORTANCE,STD,RANK,DATASET,TEST_SET,REGRESSOR
k,9.036933450607964e-05,1.5744006269342345e-05,0,all,D3,AutoML
threshold,0.2427813079364621,0.0020954237140063,1,all,D3,AutoML
InputEntityProfiles,0.0,0.0,2,all,D3,AutoML
NumberOfAttributes,0.0,0.0,3,all,D3,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D3,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D3,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D3,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D3,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D3,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D3,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D3,AutoML
AverageValueLength,0.0,0.0,11,all,D3,AutoML
AverageValueTokens,0.0,0.0,12,all,D3,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D3,AutoML
clustering_ConnectedComponentsClustering,-0.0116365725186108,0.0013408452083956,14,all,D3,AutoML
clustering_KiralyMSMApproximateClustering,0.0019487066500688,5.064808143009019e-05,15,all,D3,AutoML
clustering_UniqueMappingClustering,-0.0003031872989331,6.144348041529147e-05,16,all,D3,AutoML
lm_fasttext,0.0002326536623881,2.3179514421877155e-06,17,all,D3,AutoML
lm_sdistilroberta,-0.0007907025849671,1.9780611068596813e-05,18,all,D3,AutoML
lm_sent_glove,-0.0002862732532468,1.044465277921467e-05,19,all,D3,AutoML
lm_sminilm,-0.0015498103690592,0.0001024584170594,20,all,D3,AutoML
lm_smpnet,-0.0011985133702963,4.89341135777964e-05,21,all,D3,AutoML
lm_st5,0.2770065610803507,0.0024142640065429,22,all,D3,AutoML
lm_word2vec,-4.0256724562515166e-05,1.5560235586760838e-06,23,all,D3,AutoML
k,-4.589602077165189e-05,5.671811011880806e-06,0,all,D9,AutoML
threshold,0.0381198098749367,0.0020546183996114,1,all,D9,AutoML
InputEntityProfiles,0.0,0.0,2,all,D9,AutoML
NumberOfAttributes,0.0,0.0,3,all,D9,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D9,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D9,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D9,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D9,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D9,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D9,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D9,AutoML
AverageValueLength,0.0,0.0,11,all,D9,AutoML
AverageValueTokens,0.0,0.0,12,all,D9,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D9,AutoML
clustering_ConnectedComponentsClustering,0.1271338682628447,0.0013675905337653,14,all,D9,AutoML
clustering_KiralyMSMApproximateClustering,0.000660148532845,1.7226466594350136e-05,15,all,D9,AutoML
clustering_UniqueMappingClustering,-0.0003697700304176,8.540367769833925e-05,16,all,D9,AutoML
lm_fasttext,-5.0448957580173645e-05,6.635014878590862e-06,17,all,D9,AutoML
lm_sdistilroberta,-0.0001039459881255,4.284997101667931e-06,18,all,D9,AutoML
lm_sent_glove,4.373954462313368e-05,8.408732775634e-06,19,all,D9,AutoML
lm_sminilm,-0.0756322872642411,0.0008773377949128,20,all,D9,AutoML
lm_smpnet,-0.0776990581971046,0.0007805677474586,21,all,D9,AutoML
lm_st5,0.04767219812695,0.0015220424483947,22,all,D9,AutoML
lm_word2vec,3.139890511001386e-05,1.4169899132802138e-06,23,all,D9,AutoML
k,0.0001472164637491,6.920027556819342e-06,0,all,D2,AutoML
threshold,-0.0252201155034346,0.001395782399307,1,all,D2,AutoML
InputEntityProfiles,0.0,0.0,2,all,D2,AutoML
NumberOfAttributes,0.0,0.0,3,all,D2,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D2,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D2,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D2,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D2,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D2,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D2,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D2,AutoML
AverageValueLength,0.0,0.0,11,all,D2,AutoML
AverageValueTokens,0.0,0.0,12,all,D2,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D2,AutoML
clustering_ConnectedComponentsClustering,0.4343717441060701,0.0025951804820197,14,all,D2,AutoML
clustering_KiralyMSMApproximateClustering,-0.001242993319787,3.968028883256758e-05,15,all,D2,AutoML
clustering_UniqueMappingClustering,0.0001497492363448,9.746284577805956e-06,16,all,D2,AutoML
lm_fasttext,0.0002716063673057,4.538059034552162e-06,17,all,D2,AutoML
lm_sdistilroberta,9.607299520886236e-06,4.162743344016006e-06,18,all,D2,AutoML
lm_sent_glove,-0.0004246631991398,2.1176126924832825e-05,19,all,D2,AutoML
lm_sminilm,0.0010050275648745,0.0002497289809192,20,all,D2,AutoML
lm_smpnet,-0.0008864383202909,0.0002486321060297,21,all,D2,AutoML
